% Model:              inside_out_multifibre_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 10:39
% Table:              Table 6 - Surface Integration 4
% Time (min)             Normal total flux (mol/s)
0                        -4.067707762962253E-14
20                       3.4597095941888613E-12
40                       3.4597611177603424E-12
60                       3.459671653192111E-12
80                       3.4595821271480056E-12
100                      3.459539372790827E-12
120                      3.459545688474257E-12
140                      3.4595808728361256E-12
160                      3.4596298086613187E-12
180                      3.4595749461993264E-12
200                      3.4595351965969395E-12
220                      3.4595326851252612E-12
240                      3.4595573147492732E-12
