% Model:              outside_in_multifibre_countercurrent_240mins_official.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 11:16
% Table:              Table 7 - Surface Integration 5
% Time (min)             Normal total flux (mol/s)
0                        1.3788451664148418E-13
20                       1.482776512348068E-12
40                       1.4764767431579858E-12
60                       1.476237851357356E-12
80                       1.4841158222873827E-12
100                      1.4895980419265073E-12
120                      1.4893402775060727E-12
140                      1.4871390053450488E-12
160                      1.4854333341216833E-12
180                      1.4872485222578524E-12
200                      1.489515307604913E-12
220                      1.4884582544798839E-12
240                      1.4862949572386601E-12
