% Model:              inside_out_multifibre_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 10:40
% Table:              Table 8 - Surface Integration 6
% Time (min)             Normal total flux (mol/s)
0                        -4.09394679875168E-14
20                       3.5240716213417025E-12
40                       3.524206334285725E-12
60                       3.52405193877952E-12
80                       3.523970250345602E-12
100                      3.5239631714786983E-12
120                      3.523986255775409E-12
140                      3.5239911357957107E-12
160                      3.5239749151165867E-12
180                      3.5239534817862218E-12
200                      3.5239328771719464E-12
220                      3.5239258983885495E-12
240                      3.5239333561769884E-12
