% Model:              outside_in_multifibre_countercurrent_240mins_official.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 11:13
% Table:              Table 3 - Surface Integration 1
% Time (min)             Normal total flux (mol/s)
0                        3.510347217518865E-13
20                       1.4742154361423399E-12
40                       1.4739732156100786E-12
60                       1.4784110117775593E-12
80                       1.4853272771010676E-12
100                      1.487967399208118E-12
120                      1.4892025327188977E-12
140                      1.4886724151295865E-12
160                      1.4872150815473068E-12
180                      1.4872684390094112E-12
200                      1.4890114434160967E-12
220                      1.4895268862385048E-12
240                      1.488264256950004E-12
