% Model:              outside_in_multifibre_countercurrent_240mins_official.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 11:14
% Table:              Table 4 - Surface Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.572799323522495E-13
20                       1.482757969078929E-12
40                       1.4773070913791528E-12
60                       1.4816373963309776E-12
80                       1.4872240354628443E-12
100                      1.4902568801521865E-12
120                      1.4897807839838065E-12
140                      1.4873966459547043E-12
160                      1.4855993346508776E-12
180                      1.4876870275185462E-12
200                      1.4909451562671087E-12
220                      1.4900678320936021E-12
240                      1.4877822948200844E-12
