% Model:              outside_in_multifibre_countercurrent_240mins_official.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 11:16
% Table:              Table 6 - Surface Integration 4
% Time (min)             Normal total flux (mol/s)
0                        3.7347272913607435E-13
20                       1.4858647893283351E-12
40                       1.480408195616109E-12
60                       1.4775224106672862E-12
80                       1.481547953286236E-12
100                      1.4864537510414165E-12
120                      1.4907003539111588E-12
140                      1.4911529355175248E-12
160                      1.489162966918466E-12
180                      1.4871060168682863E-12
200                      1.4866828311835728E-12
220                      1.487397122847842E-12
240                      1.488306376427375E-12
