% Model:              inside_out_multifibre_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 10:41
% Table:              Table 9 - Surface Integration 7
% Time (min)             Normal total flux (mol/s)
0                        -4.0604385853251706E-14
20                       3.524834080676057E-12
40                       3.5250036323379306E-12
60                       3.524846780783014E-12
80                       3.5247121388324998E-12
100                      3.524679301198867E-12
120                      3.5247165216965173E-12
140                      3.524756510801297E-12
160                      3.5247719946146516E-12
180                      3.5247130854703007E-12
200                      3.524691857625518E-12
220                      3.5246876456140714E-12
240                      3.524686311470262E-12
