% Model:              inside_out_multifibre_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 13 2026, 10:36
% Table:              Table 5 - Surface Integration 3
% Time (min)             Normal total flux (mol/s)
0                        -2.4670145874367924E-14
20                       3.526941330018866E-12
40                       3.5270906829827344E-12
60                       3.5269643986634985E-12
80                       3.526871462414656E-12
100                      3.526862638133096E-12
120                      3.526886447809756E-12
140                      3.526870799991397E-12
160                      3.5268145008100693E-12
180                      3.526829343184414E-12
200                      3.5268431425775542E-12
220                      3.526824672538694E-12
240                      3.5267958088601374E-12
