% Model:              outside_in_originalconfiguration_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 14 2026, 16:22
% Dimension:          2
% Nodes:              241
% Expressions:        21
% Description:        Molar concentration, is
% Length unit:        mm
% r                       z                        is (mol/m^3) @ t=0       is (mol/m^3) @ t=0.5     is (mol/m^3) @ t=1       is (mol/m^3) @ t=1.5     is (mol/m^3) @ t=2       is (mol/m^3) @ t=2.5     is (mol/m^3) @ t=3       is (mol/m^3) @ t=3.5     is (mol/m^3) @ t=4       is (mol/m^3) @ t=4.5     is (mol/m^3) @ t=5       is (mol/m^3) @ t=5.5     is (mol/m^3) @ t=6       is (mol/m^3) @ t=6.5     is (mol/m^3) @ t=7       is (mol/m^3) @ t=7.5     is (mol/m^3) @ t=8       is (mol/m^3) @ t=8.5     is (mol/m^3) @ t=9       is (mol/m^3) @ t=9.5     is (mol/m^3) @ t=10
0.149625                  15                       4.528377237199934E-11    0.00996552600470587      0.008482562077120392     0.007851793075923175     0.007500315100927116     0.007291264199415136     0.00717472753080275      0.0071223148195968256    0.007100891628665105     0.007098692927441173     0.007103390057604693     0.007102879366394315     0.00710319296335464      0.007106756478858443     0.0071054749850552375    0.007103488410665716     0.007106211669391314     0.007106188538623818     0.007103387837868091     0.007105439931281401     0.007106841788383137
0.15000000000000002       15                       7.176703753991789E-11    0.010132474777299526     0.008624946455364543     0.007983611802856429     0.007626445348123267     0.007414182357013724     0.00729589523370333      0.007242732378213294     0.007221102528577345     0.007218879606789432     0.007223600563772142     0.007223137517025536     0.007223464815852073     0.007227017226164515     0.007225748748165714     0.007223767761033804     0.0072264742279590215    0.007226456708157139     0.007223669094236303     0.007225706140397437     0.0072271056990734495
0.14924999999999997       15                       1.8791766540035518E-11   0.0097982048433781       0.008339885575515606     0.007719708926794924     0.007374000402737706     0.007168252644776642     0.0070535340434258855    0.0070019109340074895    0.006980721570470038     0.006978552942380623     0.006983220543740341     0.00698266575475651      0.0069829658210344295    0.0069865338040770025    0.006985241955891881     0.00698325333652261      0.0069859880411366326    0.006985959526979457     0.006983151582646498     0.006985214232783779     0.006986615713375541
0.14881875                15                       1.1303263199588708E-11   0.009605431476734767     0.008175498627569172     0.007567529267693371     0.00722839383612158      0.007026359887092635     0.006913666575673515     0.006862913823531935     0.006841962875220526     0.0068398220415739185    0.006844464075223901     0.006843853210262847     0.006844136279417482     0.006847718781004597     0.006846411623487887     0.006844415114141727     0.0068471705554956274    0.006847136163772879     0.006844311216375581     0.00684639188379081      0.006847797410380394
0.1483875                 15                       3.812121083465248E-12    0.009412237291510323     0.008010781546345734     0.007415048737921892     0.007082579693168256     0.006884364174791079     0.006773774412120939     0.0067239368194137086    0.00670325565706324      0.006701150008323329     0.006705759390541135     0.0067050964546382825    0.006705363263314853     0.006708952260481012     0.006707632687328379     0.006705632854273466     0.006708402694426366     0.006708362250990246     0.006705527519520166     0.0067076212552897325    0.006709027183145359
0.14789156250000005       15                       2.1825632315435663E-12   0.0091899519958073       0.007821254737659135     0.007239609516873145     0.006914728410988171     0.006720805448698855     0.006612559628889306     0.006563735795874498     0.006543328499921355     0.006541253943718456     0.006545839223163914     0.006545109035327826     0.006545352829846808     0.0065489631482428395    0.006547625438785678     0.006545612448931575     0.006548409710399727     0.006548364386335026     0.006545504864896884     0.006547620871135057     0.006549035465855625
0.147395625               15                       5.523933751436085E-13    0.008967206102227175     0.007631365656046441     0.0070638387142223525    0.006746652923859793     0.006557141808406639     0.0064513308476323115    0.00640357037115531      0.006383472992984368     0.006381439880564707     0.006385991547562785     0.006385198351998437     0.006385421518752904     0.006389042993391724     0.006387689893773623     0.006385670325408432     0.006388487338645329     0.006388435658920188     0.00638556091905476      0.006387694262163864     0.006389111757323183
0.146825296875            15                       3.008356755696622E-13    0.008711460404676144     0.00741333966209935      0.006862038885535814     0.006553597258251304     0.006369043040448624     0.0062659443052681795    0.0062193702799654025    0.006199585103068846     0.006197585265234583     0.0062021207147239564    0.006201244864077075     0.00620143415232155      0.0062050898990755644    0.006203715098681898     0.006201671649534611     0.006204527572112939     0.006204474496727906     0.006201560178314001     0.006203722143868542     0.006205158275421991
0.14625496875             15                       4.917765548322966E-14    0.00845523739624333      0.007194935387318295     0.006659890542999665     0.006360316526350001     0.006180853670959059     0.006080573340639628     0.006035238431273064     0.006015806570139844     0.006013855879370902     0.006018361323757869     0.006017406815492543     0.006017568290461732     0.0060212447101601185    0.006019850044861452     0.006017793090460822     0.006020678392830982     0.006020619455689796     0.006017679191680601     0.006019865843308484     0.006021310618310275
0.14559909140625          15                       2.5257895762509283E-14   0.008161999002809527     0.006944979177675711     0.006428567454500244     0.006139040559974893     0.005965290801971494     0.0058681455070189095    0.005824207168243093     0.0058051265985687855    0.005803208548329133     0.0058077176535656205    0.005806658495244686     0.005806766744818556     0.0058105012598325375    0.005809080302153918     0.0058069789930223215    0.005809922973101194     0.0058098707709683065    0.00580686380313248      0.005809088826022102     0.005810571820037032
0.1449432140625           15                       1.328037698297664E-15    0.007868315145600609     0.006694662707484882     0.006196908612686689     0.005917570678145785     0.005749682978097224     0.005655797684434891     0.005613307833240927     0.0055946248330708236    0.005592765311749681     0.005597256805792804     0.005596095789657512     0.005596164195267674     0.005599937578714957     0.005598489839833776     0.00559636148899704      0.005599351932668726     0.005599295967835454     0.005596242900551098     0.005598505243055347     0.0056000085324284885
0.14315079756621646       15                       5.847857212712892E-16    0.007081474567412033     0.006024076868785005     0.005576517841645906     0.0053242513544879185    0.005171881073904977     0.005086565968533885     0.005048107073263527     0.005030294945793633     0.005028463673670007     0.005033160301032126     0.005031636691309176     0.005031434603752305     0.005035528799577128     0.005034001040051167     0.005031603125386643     0.005034871985822044     0.005034910312181213     0.005031491881307835     0.005033901621517914     0.005035656655945736
