% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 23 2026, 15:43
% Dimension:          2
% Nodes:              671
% Expressions:        2
% Description:        Molar concentration, is
% Length unit:        mm
% R                       Z                        is (mol/m^3) @ t=0       is (mol/m^3) @ t=1
0.14962499999999998       15                       0.09999999999999996      0.08670799907123641
0.15                      15                       0.09999999999999995      0.08658541346624976
0.14925                   15                       0.1                      0.08683080667450938
0.14881875                15                       0.1                      0.08697243672891815
0.1483875                 15                       0.1                      0.08711431301543053
0.1478915625              15                       0.1                      0.08727791021130339
0.14739562499999997       15                       0.1                      0.08744176374157239
0.14682529687499998       15                       0.1                      0.08763063990008296
0.14625496875             15                       0.1                      0.08781975121754046
0.14559909140625          15                       0.1                      0.08803761712847744
0.1449432140625           15                       0.1                      0.08825563065366804
0.14237312320399662       15                       0.10000000000000002      0.08911025571556655
0.14365270915446793       15                       0.10000000000000002      0.0886849532084093
0.13765103822954328       15                       0.10000000000000002      0.09066206068820115
0.1399921813859874        15                       0.10000000000000002      0.0898984245510514
0.12905251723264008       15                       0.10000000000000002      0.09329215810691724
0.1329464852317539        15                       0.10000000000000002      0.09207557921216329
0.12234485432745654       15                       0.10000000000000002      0.09494007107647569
0.114775889735795         15                       0.10000000000000002      0.09682189203258715
0.10420701005941779       15                       0.10000000000000002      0.09818857898762273
0.0936381313143637        15                       0.10000000000000002      0.09957310635616767
0.07987709550404387       15                       0.10000000000000002      0.09969323271632702
0.06611605743035404       15                       0.10000000000000002      0.09980208336835614
0.05555802851481398       15                       0.10000000000000002      0.09986731301516283
0.045000000000000005      15                       0.10000000000000002      0.09994369077218734
0.03749999999999982       15                       0.10000000000000002      0.09995006759182071
0.030000000000000013      15                       0.10000000000000002      0.09995428166146907
0.02249999999999982       15                       0.10000000000000002      0.09996056521502691
0.015000000000000015      15                       0.10000000000000002      0.09996640500445297
0.007499999999999812      15                       0.1                      0.09996820828935202
0                         15                       0.09999999999999999      0.09997030637999338
0.24974999999999997       15                       0.052101472341307416     0.030902157690114937
0.25                      15                       0.03564391322561081      0.03079147135618252
0.2495                    15                       0.06855762740471735      0.03101309767874294
0.24921249999999998       15                       0.07921878172184009      0.031140635449196822
0.24892499999999998       15                       0.08987947667626413      0.031268464837770196
0.24859437499999998       15                       0.09389013257925333      0.03141546364070798
0.24826375                15                       0.09790067514599146      0.03156279768216343
0.24788353125             15                       0.09882044906656293      0.031732285889293416
0.24750331250000002       15                       0.09974022408458327      0.03190215944361456
0.2470660609375           15                       0.09986303377868042      0.03209765633565578
0.24662880937499998       15                       0.0999863573737572       0.032293596119727194
0.2453991244110889        15                       0.1000006523618316       0.03284623164830894
0.24591105815177383       15                       0.09999348914508324      0.03261657108208186
0.24412951941998218       15                       0.09999999463195298      0.03342182786773028
0.24278959879103895       15                       0.09999991268787         0.034027169643127284
0.23987461469516416       15                       0.10000000285567168      0.03536971881230995
0.23687555762608037       15                       0.10000001465718132      0.0367470467382271
0.2242409095948662        15                       0.09999999705857887      0.042773552941229136
0.23053251830049154       15                       0.10000001257699684      0.03976909557509546
0.2128564682608537        15                       0.09999999750872454      0.048622688475392
0.201472027041018         15                       0.1000000008091098       0.05448271186711384
0.17641755555980454       15                       0.09999999969671562      0.06893904698587414
0.1884838309846421        15                       0.09999999983232652      0.06200064375844158
0.1703651312268452        15                       0.10000000006332196      0.07283025550198459
0.1639649897908763        15                       0.10000000011128965      0.07690143403771887
0.16136901104202023       15                       0.09999999998166406      0.07865976166155408
0.15823264225573203       15                       0.09999999996480657      0.08077231556232226
0.15667187945798583       15                       0.10000000000405673      0.08185737215414503
0.15508458433688269       15                       0.10000000000961717      0.08295859271997483
0.153371190625            15                       0.09999999999839404      0.08416725423653226
0.15422424782839442       15                       0.10000000000821516      0.0835649249964281
0.15293393906249997       15                       0.09999999999858789      0.08447803239832122
0.15249668749999998       15                       0.09999999999992315      0.08478937970357013
0.15211646874999996       15                       0.09999999999993407      0.08506107724307625
0.15173624999999996       15                       0.09999999999999286      0.0853332716123264
0.151405625               15                       0.09999999999999384      0.08557064251297523
0.15107499999999996       15                       0.09999999999999896      0.08580844695000014
0.15078749999999996       15                       0.0999999999999991       0.0860157050446761
0.1505                    15                       0.0999999999999998       0.08622334130735712
0.15025                   15                       0.09999999999999983      0.08640421250739587
0.26995                   15                       9.569742679559033E-14    0.026948336208029985
0.27                      15                       8.929150534488385E-14    0.02693902985769996
0.26990000000000003       15                       1.0547967878608288E-13   0.026957665516205372
0.26984250000000004       15                       1.142672704904082E-13    0.026968371501929295
0.26978500000000005       15                       1.2767734509067302E-13   0.02697910388965879
0.269718875               15                       1.4006299150975259E-13   0.02699142064838312
0.26965275000000005       15                       1.5894849817832146E-13   0.027003767770032043
0.2695767062500001        15                       1.7695724234547898E-13   0.027017938496916454
0.26950066250000004       15                       2.0439040498775738E-13   0.027032144141949564
0.26941321218750003       15                       2.315288208550132E-13    0.027048449024375143
0.2693257618750001        15                       2.7282212926508385E-13   0.02706479406366167
0.26922519401562506       15                       3.154364561539368E-13    0.027083555997406104
0.26912462615625          15                       3.801888976696563E-13    0.027102364112775716
0.2690089731179688        15                       4.503510335780549E-13    0.027123955330591205
0.2688933200796876        15                       5.567868566268282E-13    0.027145599658796513
0.2687603190856641        15                       6.787911557367486E-13    0.02717044942651431
0.26862731809164064       15                       8.635018856638406E-13    0.027195360273020844
0.2684743669485137        15                       1.0894719477869499E-12   0.02722396383774825
0.2683214158053867        15                       1.4307460390832215E-12   0.027252637645257316
0.2681455219907907        15                       1.8809849581719996E-12   0.027285566656235535
0.26796962817619474       15                       2.558893949797003E-12    0.02731857644889495
0.26776735028940934       15                       3.535301620645895E-12    0.027356491115906066
0.26756507240262395       15                       4.999778394880863E-12    0.02739449868453632
0.26733245283282075       15                       7.336622170585786E-12    0.027438161993703206
0.26709983326301756       15                       1.0824046917574439E-11   0.027481932142378762
0.2668323207577439        15                       1.7098833209336765E-11   0.027532226517874625
0.2665648082524702        15                       2.640038572453148E-11    0.027582643760933834
0.2662571688714055        15                       4.5679576120240943E-11   0.02764059064764472
0.26594952949034073       15                       7.398970714048201E-11    0.02769867883279059
0.2655957442021163        15                       1.433643080305121E-10    0.027765461784961427
0.26524195891389185       15                       2.43793529997677E-10     0.02783240722816282
0.2648380765865553        15                       5.391581578577336E-10    0.027908836305768868
0.2644341942435885        15                       9.567024001686763E-10    0.027985450879058286
0.2639338611295098        15                       2.7817876827725925E-9    0.028080413963231445
0.2634335279650817        15                       5.2135963221917685E-9    0.028175606827868606
0.26281521591562074       15                       1.4094109014915802E-8    0.028293397134828792
0.2621969039321395        15                       1.265079857284599E-9     0.02841147134126577
0.261226411329357         15                       -2.5541010654915756E-7   0.028597333508401684
0.26025591904143774       15                       -4.080231206204184E-7    0.028783641210457192
0.25864651747856304       15                       1.1419388336888836E-6    0.029094550364393203
0.25703711597917517       15                       2.3921384531394445E-6    0.029406197542510455
0.25438832416287915       15                       -2.073600314362944E-5    0.02992367521706115
0.25566036607524023       15                       -8.197663403967133E-6    0.029675510606311687
0.25354112802408435       15                       4.633660101572145E-4     0.030090680848355908
0.2526714108421572        15                       7.932485221712167E-4     0.030261617828632938
0.25215063418933414       15                       0.0029929178170523627    0.030364770380712603
0.2515539776434861        15                       0.005260507673689265     0.030482642277024553
0.25098843987026914       15                       0.011627158213643005     0.03059484084219847
0.2512673987650722        15                       0.008515466631270834     0.030539565845585766
0.2506742381249999        15                       0.017300501077809352     0.030657266745560557
0.25082437566729565       15                       0.014577105668278086     0.03062739884252763
0.25058678781249993       15                       0.01928802985609651      0.030674638095928537
0.2504993375              15                       0.02127453973882952      0.030692049396049095
0.25042329374999994       15                       0.023248971415851437     0.030707163644454614
0.2503472499999999        15                       0.025222716207246303     0.0307223126277707
0.25028112499999994       15                       0.027111948720076322     0.03073546205969763
0.25021499999999997       15                       0.02900070832751268      0.030748641692839196
0.2501574999999999        15                       0.030749624921545954     0.0307600809833165
0.2501                    15                       0.032498210489926974     0.03077154653339133
0.25005                   15                       0.034071179180368436     0.030781497528456735
1.7998470000000002        15                       2.335691966034098E-181   -1.8816923250270986E-18
