% Model:              outside_in_adjustedconfiguration_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 23 2026, 16:59
% Dimension:          2
% Nodes:              241
% Expressions:        2
% Description:        Molar concentration, is
% Length unit:        mm
% r                       z                        is (mol/m^3) @ t=0       is (mol/m^3) @ t=5
1.556331875               0.5                      1.2366553855911358E-11   0.06687983077151438
1.5575                    0.5                      5.330537096119855E-11    0.06703589547975276
1.5559424999999998        0.5                      -9.017572883611015E-13   0.06682392831231429
1.5545991562499997        0.5                      -2.0123040427375515E-13  0.06664442016634507
1.5541513749999998        0.5                      4.497693563836165E-14    0.06658004589161173
1.5526065296874998        0.5                      9.6864914433844E-15      0.06637357045895208
1.5520915812499998        0.5                      -3.62721818453123E-15    0.0662994351613969
1.5503150091406248        0.5                      -7.666415208668458E-16   0.06606193999041286
1.5497228184375           0.5                      3.905451313747814E-16    0.06597655924930841
1.547679760511719         0.5                      9.032154117999244E-17    0.06570338514072005
1.5469987412031252        0.5                      -4.0366892625298225E-17  0.06560505100979648
1.5416274205914144        0.5                      6.714285482401848E-18    0.06486945877585028
1.5429036130752103        0.5                      -8.627707669009598E-18   0.06505392822756415
1.5316950293104596        0.5                      -1.2078594834319556E-18  0.0635102244958939
1.5340386336024454        0.5                      1.3498906847745012E-18   0.06385005786696567
1.5127337499858406        0.5                      2.509440257157542E-19    0.060919026621969165
1.516766731309658         0.5                      -2.209814574561487E-19   0.06150570041575271
1.4912438075474288        0.5                      3.444219866020853E-20    0.0580331332616385
1.4830244761406393        0.5                      -5.506345520886511E-20   0.0568439071266415
1.4501991036159572        0.5                      -8.850510136510065E-21   0.05229662185374119
1.4392360289838546        0.5                      1.2865561057378275E-20   0.05073683661309557
1.395885026257094         0.5                      2.0682593986284767E-21   0.04457405839290249
1.3813324557034803        0.5                      -3.901209648382267E-21   0.04254218278693968
1.3499494306086754        0.5                      -9.014263549314978E-22   0.038230938017802626
1.33945                   0.5                      1.1603706822769125E-21   0.036787392090122883
1.3160874999999994        0.5                      3.9953754740927074E-22   0.033665872546365036
1.3083                    0.5                      -3.0147955378209654E-22  0.03263651299033636
1.2849374999999998        0.5                      -1.425301171233733E-22   0.02957099583187974
1.27715                   0.5                      7.881862652523096E-23    0.02859906739448883
1.2537874999999998        0.5                      4.986653569179291E-23    0.025672092175035938
1.2460000000000002        0.5                      -2.086556519679612E-23   0.024759047716443192
1.2226374999999998        0.5                      -1.720179107314516E-23   0.02201552863209974
1.21485                   0.5                      5.626134055130282E-24    0.021164965506765446
1.1914874999999996        0.5                      5.876763822916105E-24    0.018632883522401077
1.1837                    0.5                      -1.5530526375668651E-24  0.017850179534636936
1.1603374999999996        0.5                      -1.9952278694366123E-24  0.015548896983580487
1.15255                   0.5                      4.404380487501569E-25    0.014839336099475076
1.1291874999999996        0.5                      6.748860891090186E-25    0.012781635191988716
1.1213999999999997        0.5                      -1.284810870953695E-25   0.012148991583554378
1.0980374999999991        0.5                      -2.278277474786823E-25   0.010340803461394921
1.0902499999999997        0.5                      3.8506444066412833E-26   0.00978668500313078
1.0668874999999993        0.5                      7.684065534891261E-26    0.008226715859383315
1.0590999999999995        0.5                      -1.182008736743038E-26   0.00775040018515462
1.0357374999999995        0.5                      -2.59074875718801E-26    0.006430332752925683
1.0279499999999997        0.5                      3.700777360444241E-27    0.006028878224637742
1.0045874999999995        0.5                      8.733261946724297E-27    0.004934159424515759
0.9967999999999998        0.5                      -1.1766315051714271E-27  0.004602691238334549
0.9734374999999997        0.5                      -2.9429771678326455E-27  0.0037137559496129503
