% Model:              outside_in_adjustedconfiguration_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 23 2026, 16:59
% Dimension:          2
% Nodes:              121
% Expressions:        2
% Description:        Molar concentration, is
% Length unit:        mm
% r                       z                        is (mol/m^3) @ t=0       is (mol/m^3) @ t=5
1.5559424999999998        10                       9.262917365298556E-13    0.058075188334905534
1.5575                    10                       -2.4637517865523422E-11  0.05833270305131137
1.5541513749999998        10                       -6.918223651762665E-14   0.05777873318877515
1.5520915812499998        10                       7.467533701171997E-15    0.05743740590066261
1.5497228184375           10                       -1.0120777035806985E-15  0.05704436139695888
1.5469987412031252        10                       1.2750827527824905E-16   0.05659169973069496
1.5418538496399234        10                       -2.1124742880035145E-17  0.05573490223385706
1.5319753222658368        10                       4.316213365522745E-18    0.054083775429582225
1.5169811431538351        10                       -7.326862469282831E-19   0.05156539347004572
1.4843816600845272        10                       1.6881703676720627E-19   0.04607043042324602
1.4404778499940751        10                       -4.024674726849868E-20   0.038728127789022654
1.3816812777827074        10                       1.2716276558800586E-20   0.02932174494110599
1.33945                   10                       -3.9241911901853745E-21  0.02312620489822281
1.3083000000000002        10                       1.060230335082865E-21    0.01897401273713056
1.27715                   10                       -2.8652848125735603E-22  0.015239230838162641
1.246                     10                       7.745705256647574E-23    0.011960775470046935
1.21485                   10                       -2.0945363142438537E-23  0.009157710719521185
1.1837                    10                       5.6657462608599364E-24   0.006827915194645787
1.15255                   10                       -1.5331251192545485E-24  0.004948992828280147
1.1213999999999997        10                       4.150101978744215E-25    0.003481341810303149
1.0902499999999997        10                       -1.1238559168275372E-25  0.0023728982177397264
1.0590999999999995        10                       3.044695575327152E-26    0.001564773285671733
1.0279499999999997        10                       -8.252203649347666E-27   9.968835102087774E-4
0.9967999999999998        10                       2.2376964357314935E-27   6.127593134650647E-4
0.96565                   10                       -6.0708705337375325E-28  3.6297613628017355E-4
0.9345                    10                       1.6479117322053042E-28   2.0699711886348866E-4
0.90335                   10                       -4.4757528491333826E-29  1.1354714091643218E-4
0.8722000000000001        10                       1.2163681671587968E-29   5.987152879857387E-5
0.8410500000000001        10                       -3.3078841342579446E-30  3.033116845181831E-5
0.8099                    10                       9.002093080541936E-31    1.475937639286902E-5
0.77875                   10                       -2.451708804364442E-31   6.898318310901398E-6
0.7475999999999999        10                       6.682725629751024E-32    3.097498165307472E-6
0.7164500000000003        10                       -1.8231751911609566E-32  1.3368692232015004E-6
0.6853                    10                       4.978838080474897E-33    5.550501418183778E-7
0.65415                   10                       -1.3611066266710385E-33  2.219439459101159E-7
0.623                     10                       3.725344623752393E-34    8.562990844440896E-8
0.59185                   10                       -1.020948104728281E-34   3.195612208006275E-8
0.5606999999999999        10                       2.8019813244817117E-35   1.1555762455947166E-8
0.5295499999999997        10                       -7.702351694295307E-36   4.044401164577985E-9
0.4983999999999998        10                       2.121111820975701E-36    1.3704655409201064E-9
0.4672499999999998        10                       -5.853132875910199E-37   4.505670159615461E-10
0.4360999999999997        10                       1.6189073025815222E-37   1.4396375934135716E-10
0.40494999999999975       10                       -4.489694706128477E-38   4.477132945850197E-11
0.37379999999999974       10                       1.2490010332976394E-38   1.357301637116255E-11
0.34264999999999973       10                       -3.487382913258037E-39   4.0180483398246684E-12
0.3114999999999998        10                       9.7795863833528E-40      1.1636676018351116E-12
0.28034999999999993       10                       -2.7553332952486717E-40  3.3040952113572E-13
0.24919999999999995       10                       7.742771149388808E-41    9.224523858803248E-14
0.2180500000000002        10                       -1.9069027530458834E-41  2.5542085051879192E-14
0.17582713958693028       10                       5.022442707085587E-42    4.102419517613641E-15
0.1170515686234123        10                       -1.8641300733592343E-42  1.2806338005227573E-16
0.07315359606285812       10                       7.245333015964924E-43    1.7861488472496867E-17
0.04054814135320163       10                       -3.209171315774158E-43   -3.811583529589081E-19
