% Model:              outside_in_originalconfiguration_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 14 2026, 21:50
% Dimension:          2
% Nodes:              121
% Expressions:        21
% Description:        Molar concentration, is
% Length unit:        mm
% r                       z                        is (mol/m^3) @ t=0       is (mol/m^3) @ t=0.5     is (mol/m^3) @ t=1       is (mol/m^3) @ t=1.5     is (mol/m^3) @ t=2       is (mol/m^3) @ t=2.5     is (mol/m^3) @ t=3       is (mol/m^3) @ t=3.5     is (mol/m^3) @ t=4       is (mol/m^3) @ t=4.5     is (mol/m^3) @ t=5       is (mol/m^3) @ t=5.5     is (mol/m^3) @ t=6       is (mol/m^3) @ t=6.5     is (mol/m^3) @ t=7       is (mol/m^3) @ t=7.5     is (mol/m^3) @ t=8       is (mol/m^3) @ t=8.5     is (mol/m^3) @ t=9       is (mol/m^3) @ t=9.5     is (mol/m^3) @ t=10
0.14924999999999997       10                       1.897659040900118E-11    0.0629430806216248       0.075886648312536        0.08284100405176924      0.08729524298883673      0.0905829108052777       0.09307200726244863      0.0949675219985496       0.09639817465055814      0.09746059298583366      0.09823713856815515      0.09879762399963228      0.09919798188039083      0.09948142051603984      0.09968067298290202      0.09982016556029565      0.09991693974137723      0.09998186658754746      0.10002527940201175      0.10005464904228807      0.10007483854319796
0.15                      10                       7.243170118575226E-11    0.06301776080374347      0.07592028351450007      0.08286012292712583      0.0873080647637346       0.09059233783370459      0.09307927245498628      0.09497312108788465      0.09640239396154489      0.09746369961097548      0.0982393873554308       0.09879923210857629      0.09919912209506467      0.09948222345492631      0.09968123435201307      0.09982055753220079      0.09991721084989134      0.09998205115112871      0.10002540321515287      0.10005473298770759      0.10007489819978485
0.1483875                 10                       3.852007657598116E-12    0.06285749192999353      0.07584813055048477      0.08281911694942945      0.08728056930988022      0.09057212405634939      0.09306369420466327      0.0949611148839646       0.09639334611804493      0.09745703763644416      0.0982345648863369       0.0987957835424074       0.09919667690925327      0.09948050153663666      0.09968003048274057      0.09981971693718254      0.09991662943380189      0.09998165532132225      0.10002513768472356      0.10005455297413819      0.10007477026223288
0.14739562499999997       10                       5.585654404595151E-13    0.06275945647529607      0.0758040513048621       0.08279407891590328      0.0872637891268975       0.09055979124711473      0.0930541896959114       0.09495378887835536      0.09638782467662096      0.09745297187126227      0.09823162161765146      0.09879367877031532      0.09919518451060146      0.09947945054284558      0.09967929568273372      0.09981920386328111      0.09991627452507257      0.09998141366706094      0.10002497559549155      0.10005444311771951      0.10007469216849814
0.14625496875             10                       4.9770131214840626E-14   0.06264723862080754      0.07575364756033502      0.08276546054152717      0.08724461721563263      0.09054570381140811      0.09304333303745733      0.09494541985618339      0.09638151659864798      0.09744832658097562      0.09822825868751296      0.09879127386559416      0.09919347928089822      0.09947824963332087      0.09967845606636912      0.09981861759753737      0.0999158689592119       0.09998113749147045      0.10002479036785994      0.10005431760778956      0.10007460292966715
0.1449432140625           10                       1.3461144727193821E-15   0.06251888739598166      0.07569606557764255      0.08273278226321035      0.08722273561564718      0.09052962949600739      0.09303094529635954      0.0949358695480334       0.09637431743640545      0.09744302473037275      0.09822442026714669      0.09878852889272766      0.0991915328945678       0.0994768788446664       0.09967749767537044      0.09981794839157948      0.09991540597991692      0.09998082218086629      0.10002457891562311      0.1000541743660394       0.10007450105914557
0.14135879501807963       10                       -1.6102809871813103E-16  0.06217204216378413      0.075540822616117        0.08264476369152857      0.08716385087140575      0.09048639609363195      0.09299763005897506      0.094910180303268        0.09635494903370558      0.09742875897262986      0.09821409123508175      0.09878114210420533      0.09918629498069392      0.09947318967140986      0.09967491836430165      0.09981614733280804      0.09991415974018443      0.0999799731701853       0.10002400966121429      0.1000537889578756       0.10007422682782922
0.13163502609046748       10                       3.038725077045925E-17    0.061260875895751056     0.07513547310596612      0.08241550378617246      0.08701084059086565      0.09037419754763015      0.09291117076273787      0.09484348964283944      0.0963046570012555       0.09739170993895453      0.09818726207680785      0.09876195578724438      0.09917268991805979      0.09946360573632997      0.09966821797596193      0.09981146855646046      0.0999109206942629       0.09997776403707438      0.10002252909798266      0.1000527882697554       0.10007351364866657
0.11221343195770586       10                       -8.992429341507913E-18   0.05958239379043624      0.07439789592751969      0.08200036703970051      0.08673509802008085      0.09017255587772566      0.09275581921986245      0.09472349134743095      0.09621405013856806      0.0973248929492858       0.09813888204773384      0.09872738182502827      0.09914818222044824      0.09944633828872218      0.09965615287878744      0.09980304540834492      0.09990508191243024      0.09997377093025595      0.10001985748787691      0.10005099087904791      0.10007222523964407
0.09401976624030282       10                       2.5693905848646058E-18   0.05820389880327227      0.07380085968288706      0.0816662170376683       0.08651439450560004      0.09001169759326849      0.09263194109549815      0.09462768586372729      0.09614166874157072      0.09727152916820399      0.09810020831260467      0.09869974290016703      0.09912858698066411      0.09943251589013034      0.09964650099956009      0.09979630656648843      0.09990039698156752      0.09997055650540383      0.10001771840920978      0.10004956359390345      0.10007118760122655
0.07499999999999998       10                       -7.702843068821867E-19   0.05698584283750611      0.07327963871602848      0.08137583746797364      0.08632350756668881      0.08987297502918264      0.09252518456273576      0.0945450480872745       0.09607931402936465      0.09722554749629146      0.0980668459359006       0.09867591137727855      0.0991116933747195       0.09942057577895917      0.09963817765009036      0.09979049961139261      0.0998963366800545       0.09996775267493403      0.1000158729326693       0.10004835274102716      0.10007028326943905
0.055982878250147756      10                       2.436194009161324E-19    0.05601624345155444      0.07286889030709574      0.0811478834081845       0.08617428783161585      0.08976482841566376      0.09244206912186285      0.09448098632703715      0.09603103062280023      0.09718992292514753      0.09804093832416125      0.09865741229570989      0.09909858695611619      0.09941127034089722      0.09963171123142696      0.09978600831959668      0.09989315503511538      0.09996551765003281      0.10001443619825319      0.10004745328604549      0.1000695799088108
0.03779005796685096       10                       -8.021733565720618E-20   0.05533640730612256      0.07258306615225373      0.08098975432052755      0.08607119239452322      0.08969032196702091      0.09238551765711969      0.094437633743368        0.0959983491760081       0.09716579192111287      0.0980233104698789       0.09864481062061049      0.09908968780351603      0.09940489015151618      0.09962727627800853      0.09978299291988713      0.09989097381230992      0.09996390324746131      0.1000134288728285       0.10004690260327828      0.10006917724390751
0.01836722338669411       10                       3.759276343693196E-20    0.05488454028918018      0.07239408856367623      0.08088555366794854      0.08600370290761727      0.08964190025111657      0.09235092946526618      0.09441183183646344      0.09597870332202282      0.09715118224824212      0.09801250662367193      0.09863697283561702      0.0990841271674622       0.09940084525734208      0.09962442679016764      0.09978110196674989      0.09988959220386094      0.09996280558760653      0.1000127241788421       0.10004657349208919      0.10006908565061623
0.008641431405166078      10                       -1.7786419696650124E-20  0.054774646548298854     0.07234829627512884      0.08086053340504548      0.08598874021477697      0.08963128844892662      0.09234240738701996      0.09440511621862714      0.09597347530712147      0.09714730620108998      0.09800967021965248      0.0986349347942491       0.09908268938134893      0.09939979969342629      0.09962369249434169      0.09978062136425242      0.0998892414008868       0.0999625261290217       0.10001253341682834      0.10004648559815425      0.1000691508518158
0.0050567859375           10                       5.529856216513957E-21    0.054754497206588315     0.07233993065175948      0.08085612358055999      0.08598586034337757      0.08962908482810929      0.09234076550490794      0.09440383379754642      0.09597247774720095      0.09714657194028671      0.09800913540035909      0.09863455211185372      0.09908242003551987      0.09939960381464795      0.0996235551980713       0.09978053185503526      0.099889176066439        0.09996247391063752      0.10001249802069316      0.10004646950760805      0.1000691839482926
0.0037450312499999997     10                       2.249775758165938E-22    0.054749840438415985     0.0723380088194317       0.08085517159203097      0.08598515443545152      0.08962856296675605      0.09234038381825005      0.0944035349334671       0.09597224523138267      0.09714640109741116      0.09800901105383394      0.09863446318467382      0.09908235746632389      0.0993995583117498       0.09962352331116966      0.09978051107889392      0.0998891609035876       0.0999624617826953       0.1000124898064924       0.1000464657794642       0.10006919344892241
0.002604375               10                       2.3146489763173212E-23   0.05474691991109717      0.0723368150511323       0.08085463244163993      0.08598470493492337      0.08962823407535699      0.09234014448574618      0.09440334681308327      0.09597209879865469      0.09714629355777371      0.09800893278429433      0.09863440720846164      0.09908231808252073      0.09939952966938603      0.09962350323870749      0.09978049800188762      0.09988915136050659      0.09996245414689621      0.1000124846345392       0.10004646343302483      0.10006919987975597
0.0016125                 10                       4.1929490398163064E-24   0.05474523443154755      0.07233616942516377      0.0808543677995033       0.08598443852960622      0.08962804309103756      0.09234000578310925      0.09440323729153112      0.09597201354917174      0.09714623097704202      0.09800888723466435      0.09863437463220721      0.09908229516307139      0.09939951300061291      0.09962349155700892      0.09978049039187806      0.09988914580729721      0.09996244970255959      0.10001248162418279      0.10004646206760814      0.1000692037178353
