% Model:              outside_in_originalconfiguration_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:42
% Dimension:          2
% Nodes:              149
% Expressions:        13
% Description:        Pressure
% Length unit:        mm
% r                       z                        p (Pa) @ t=0             p (Pa) @ t=20            p (Pa) @ t=40            p (Pa) @ t=60            p (Pa) @ t=80            p (Pa) @ t=100           p (Pa) @ t=120           p (Pa) @ t=140           p (Pa) @ t=160           p (Pa) @ t=180           p (Pa) @ t=200           p (Pa) @ t=220           p (Pa) @ t=240
0.5                       -5                       0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597      0.11561616995328597
0.5                       -4.784858387799563       0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772      0.11487655889625772
0.5                       -4.583333333333332       0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258      0.11420699187395258
0.5                       -4.368191721132899       0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966      0.11331133567505966
0.5                       -4.166666666666666       0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233      0.11246571655734233
0.5                       -3.9515250544662317      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726      0.11168847910195726
0.5                       -3.7499999999999996      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114      0.11096295540377114
0.5                       -3.5348583877995656      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756      0.11008872147165756
0.5                       -3.333333333333333       0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067      0.10926883837142067
0.5                       -3.1181917211328987      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414      0.10847354847369414
0.5                       -2.916666666666666       0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481      0.10772891587799481
0.5                       -2.701525054466232       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435       0.1068683160878435
0.5                       -2.4999999999999996      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578      0.10606212402434578
0.5                       -2.2848583877995656      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689      0.10525632606081689
0.5                       -2.083333333333333       0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733      0.10450148740777733
0.5                       -1.8681917211328982      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681      0.10364925301129681
0.5                       -1.666666666666666       0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149      0.10285103370343149
0.5                       -1.4515250544662317      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601      0.10203842318657601
0.5                       -1.2499999999999991      0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871       0.1012771594382871
0.5                       -1.0348583877995643      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935      0.10043055651817935
0.5                       -0.8333333333333321      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627      0.09963761529930627
0.5                       -0.6181917211328987      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367      0.09882026286840367
0.5                       -0.4166666666666652      0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676       0.0980545664472676
0.5                       -0.2015250544662317      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513      0.09721204346450513
0.5                       0                        0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147      0.09642291767461147
0.5                       19.59999999999999        0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827     0.020749194170088827
0.5                       19.806535947712415       0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586      0.01993829748002586
