% Model:              inside_out_baseline_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:50
% Dimension:          2
% Nodes:              151
% Expressions:        21
% Description:        Pressure
% Length unit:        mm
% R                       Z                        p (Pa) @ t=0             p (Pa) @ t=0.5           p (Pa) @ t=1             p (Pa) @ t=1.5           p (Pa) @ t=2             p (Pa) @ t=2.5           p (Pa) @ t=3             p (Pa) @ t=3.5           p (Pa) @ t=4             p (Pa) @ t=4.5           p (Pa) @ t=5             p (Pa) @ t=5.5           p (Pa) @ t=6             p (Pa) @ t=6.5           p (Pa) @ t=7             p (Pa) @ t=7.5           p (Pa) @ t=8             p (Pa) @ t=8.5           p (Pa) @ t=9             p (Pa) @ t=9.5           p (Pa) @ t=10
0                         16.53333333333333        100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516       100.00836846416516
0                         16.4                     103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354       103.85478101789354
0                         16.266666666666666       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594       107.70746168817594
0                         16.13333333333333        111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757       111.55973608871757
0                         16                       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212       115.40653384801212
0                         15.866666666666669       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375       119.25312025688375
0                         15.733333333333333       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651       123.10565892974651
0                         15.600000000000001       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276       126.95814747470276
0                         15.466666666666667       130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729         130.805001994729
0                         15.333333333333334       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418       134.65160589248418
0                         15.2                     138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419       138.50411684470419
0                         15.066666666666668       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754       142.35658294454754
0                         14.933333333333334       146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569        146.2034442771569
0                         14.8                     150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196       150.05004878825196
0                         14.666666666666666       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146       153.90257687196146
0                         14.533333333333333       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896       157.75504030363896
0                         14.399999999999999       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837       161.60192284615837
0                         14.266666666666667       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726       165.44851128203726
0                         14.133333333333331       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788       169.30104909100788
