% Model:              inside_out_baseline_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 28 2026, 21:34
% Dimension:          2
% Nodes:              1221
% Expressions:        13
% Description:        Velocity field, z-component
% Length unit:        mm
% R                       Z                        w (m/s) @ t=0            w (m/s) @ t=20           w (m/s) @ t=40           w (m/s) @ t=60           w (m/s) @ t=80           w (m/s) @ t=100          w (m/s) @ t=120          w (m/s) @ t=140          w (m/s) @ t=160          w (m/s) @ t=180          w (m/s) @ t=200          w (m/s) @ t=220          w (m/s) @ t=240
0.14925                   10                       4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4    4.6798327323899685E-4
0.15                      10                       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.1483875                 10                       0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678    0.0010032642500011678
0.147395625               10                       0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368    0.0016150024795688368
0.14625496875             10                       0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315    0.0023134299127041315
0.1449432140625           10                       0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185     0.003109914540724185
0.1434597971491917        10                       0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714     0.004002029678349714
0.1397410945424081        10                       0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516     0.006198038866216516
0.13039940759667953       10                       0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267     0.011462065941313267
0.1113696909803701        10                       0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237     0.021075522346067237
0.07721025198698044       10                       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955       0.0346579679573955
0.038482357293833445      10                       0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401      0.04435102511012401
0.01951860870711373       10                       0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186      0.04671674541348186
0.011010771743765923      10                       0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124     0.047269631206671124
0.006909269245618974      10                       0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044      0.04742455283518044
0.005056785937500004      10                       0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469      0.04747073209691469
0.003745031250000003      10                       0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464     0.047494899509542464
0.0026043750000000025     10                       0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529      0.04751010989251529
0.0016125000000000015     10                       0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892      0.04751896086971892
7.500000000000007E-4      10                       0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184     0.047523382858265184
0                         10                       0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601      0.04752494122662601
0.2495                    10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.25                      10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.2495                    10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.25                      10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24892499999999998       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.2495                    10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24892499999999998       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.2495                    10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24826375                10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24892499999999998       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24826375                10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24892499999999998       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24750331250000004       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24826375                10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24750331250000004       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24826375                10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.246628809375            10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24750331250000004       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.246628809375            10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24750331250000004       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24563825253265575       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.246628809375            10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24563825253265575       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.246628809375            10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24315180526756483       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24563825253265575       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24315180526756483       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24563825253265575       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.23693336059768197       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24315180526756483       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.23693336059768197       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.24315180526756483       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
0.22433451315122438       10                       NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN                      NaN
