% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 2 2026, 09:35
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        5.303345904749724E-20
20                       -4.4057483438746764E-12
40                       -4.405756763949182E-12
60                       -4.405776595075303E-12
80                       -4.405729609962936E-12
100                      -4.405735262919503E-12
120                      -4.405756714618606E-12
140                      -4.40575537983138E-12
160                      -4.405736219647792E-12
180                      -4.4057420244538E-12
200                      -4.4057573425869504E-12
220                      -4.4057561751118085E-12
240                      -4.405733742925439E-12
