% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:21
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.245560781539869E-20
20                       -3.4977153821585704E-12
40                       -3.4977029346647387E-12
60                       -3.497722252997827E-12
80                       -3.497711056908842E-12
100                      -3.497706291865922E-12
120                      -3.497700591684352E-12
140                      -3.49771509779793E-12
160                      -3.497716850068633E-12
180                      -3.4976981187250265E-12
200                      -3.4977052659388064E-12
220                      -3.497718964253907E-12
240                      -3.497717169791374E-12
