% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:31
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5983513848065133E-18
20                       -1.941039602792152E-11
40                       -1.9410542552214623E-11
60                       -1.9410542591219944E-11
80                       -1.941042300427271E-11
100                      -1.9410330291356584E-11
120                      -1.941037938565754E-11
140                      -1.9410421286002975E-11
160                      -1.9410388131299214E-11
180                      -1.9410343345985127E-11
200                      -1.9410357931670882E-11
220                      -1.9410415869138394E-11
240                      -1.941043629472336E-11
