% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:21
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        7.905733587864428E-13
20                       3.4818001066766917E-12
40                       3.4818164787017065E-12
60                       3.481821445909578E-12
80                       3.48180019403366E-12
100                      3.481834095799458E-12
120                      3.481803094558692E-12
140                      3.4817973355681084E-12
160                      3.4818120075790525E-12
180                      3.4818069326989802E-12
200                      3.4818096144794677E-12
220                      3.481806576325132E-12
240                      3.4818062925821124E-12
