% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:08
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982543939443236E-18
20                       -1.9377346139259968E-11
40                       -1.937744240869381E-11
60                       -1.9377472729069676E-11
80                       -1.9377436609427324E-11
100                      -1.937739384823917E-11
120                      -1.937740899432629E-11
140                      -1.937744146902374E-11
160                      -1.9377448026516046E-11
180                      -1.9377418093090577E-11
200                      -1.937740457397138E-11
220                      -1.9377417102932624E-11
240                      -1.9377421548406286E-11
