% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:55
% Table:              Table 12 - Line Integration 4
% Time (min)             Normal total flux (mol/s)
0                        7.905706173201214E-13
20                       3.4814183633909408E-12
40                       3.481431328869194E-12
60                       3.481447509003292E-12
80                       3.481414688276405E-12
100                      3.4814266687735197E-12
120                      3.4814297660943925E-12
140                      3.4814141105993665E-12
160                      3.481426474292442E-12
180                      3.481418105396356E-12
200                      3.4814127179578558E-12
220                      3.481425350267431E-12
240                      3.481423605361928E-12
