% Model:              inside_out_countercurrent_240mins_parasweep_Qdial 2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 10:11
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926770016653E-19
20                       3.3649509234460498E-12
40                       3.364927420720822E-12
60                       3.364945038908576E-12
80                       3.3649057325890954E-12
100                      3.3649565143182115E-12
120                      3.3649385622446023E-12
140                      3.364928733277031E-12
160                      3.364939983039195E-12
180                      3.3649416854576856E-12
200                      3.3649290087769252E-12
220                      3.364930225067188E-12
240                      3.364935396729081E-12
