% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:54
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -3.8973669156573945E-18
20                       -2.9075668006126043E-11
40                       -2.90756575489913E-11
60                       -2.9075813306783367E-11
80                       -2.9075781078322384E-11
100                      -2.9075661901762226E-11
120                      -2.9075534134835657E-11
140                      -2.9075586938159784E-11
160                      -2.9075645186401023E-11
180                      -2.9075597518660613E-11
200                      -2.9075514457242963E-11
220                      -2.9075500336077497E-11
240                      -2.907557002736054E-11
