% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:19
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.582192832454368E-19
20                       3.304245105279641E-12
40                       3.3042729612483995E-12
60                       3.3042808303203225E-12
80                       3.3042820908568315E-12
100                      3.3042973074510968E-12
120                      3.304289334664543E-12
140                      3.304286667710201E-12
160                      3.304306122249643E-12
180                      3.304287716501001E-12
200                      3.3042896730291397E-12
220                      3.3042912727686478E-12
240                      3.304292488242796E-12
