% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:44
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5831016822526133E-19
20                       3.4814080905812586E-12
40                       3.4814175929643876E-12
60                       3.4814524965293708E-12
80                       3.481421317553002E-12
100                      3.4814184220747107E-12
120                      3.4814251958721035E-12
140                      3.4814171367184443E-12
160                      3.481426269800265E-12
180                      3.481413486126782E-12
200                      3.48141186787476E-12
220                      3.4814293537116483E-12
240                      3.4814243918261037E-12
