% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:53
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -3.247812331514061E-18
20                       -2.4226218120519706E-11
40                       -2.4226530437317543E-11
60                       -2.422655587712211E-11
80                       -2.422644380542592E-11
100                      -2.4226388164959556E-11
120                      -2.4226299136663885E-11
140                      -2.422627973260056E-11
160                      -2.422635024365173E-11
180                      -2.4226342453749962E-11
200                      -2.422627590898641E-11
220                      -2.4226266886706578E-11
240                      -2.4226333262165117E-11
