% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:22
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -2.5982597266305726E-18
20                       -1.9400852154304355E-11
40                       -1.9400841231222323E-11
60                       -1.940097454151247E-11
80                       -1.9400981096745293E-11
100                      -1.9400882326985757E-11
120                      -1.9400764772465197E-11
140                      -1.940079195282983E-11
160                      -1.9400840494386807E-11
180                      -1.9400825384445948E-11
200                      -1.9400762148568426E-11
220                      -1.9400732232009626E-11
240                      -1.9400778831402183E-11
