% Model:              inside_out_countercurrent_240mins_parasweep_Qblood 1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 09:20
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5836130625613576E-19
20                       3.4164269884630427E-12
40                       3.4163921316809166E-12
60                       3.4165119588140572E-12
80                       3.4164327648431343E-12
100                      3.4164245541080615E-12
120                      3.416441416942041E-12
140                      3.416418402501401E-12
160                      3.41643528226248E-12
180                      3.4164135671509987E-12
200                      3.416448228921924E-12
220                      3.416429151874648E-12
240                      3.4164035378740705E-12
