% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 19:11
% Dimension:          1
% Nodes:              1344
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Molar concentration, is
0                         0.10000000000000009
0.015000000000000015      0.09999999999999996
0.030000000000000013      0.10000000000000016
0.045000000000000005      0.09999999999999962
0.0661176636499657        0.10000000000000109
0.09364301330729984       0.09999999999999715
0.11478260364023539       0.10000000000000926
0.13048106160469486       0.10000000000006157
0.13898907676946723       0.09999999999157076
0.14309067871521702       0.09999999995994319
0.1449432140625           0.09999999992630039
0.14625496875             0.09999999989048608
0.147395625               0.09999999984972059
0.1483875                 0.0999999998071708
0.14925                   0.0999999997661022
0.15                      0.0999999997294095
0.1505                    0.09999999967776003
0.151075                  0.09999999962861321
0.15173625                0.09999999960243348
0.15249668749999998       0.09999999965495884
0.153371190625            0.0999999999395574
0.15460614806640127       0.10000000143696527
0.15734047201414628       0.10000002747443511
0.16301231143072156       0.1000002879081808
0.1756547705707205        0.09999859699503681
0.20147344917058943       0.10000435377093968
0.2242464507632097        0.09998198014854083
0.23693294558204148       0.10012302070090713
0.2430205540996574        0.0961914923189133
0.24559734085150983       0.08710543383201395
0.246628809375            0.08031866575338109
0.24750331250000004       0.07250615718495446
0.24826375                0.06392358840801696
0.24892499999999998       0.05508679544957338
0.2495                    0.046531136472098326
0.25                      0.03872525988482897
0.2501                    0.03802007263023718
0.25021499999999997       0.03721154746913949
0.25034724999999997       0.03628632060828348
0.2504993375              0.03523023591121449
0.25067423812499995       0.0340287690927421
0.25086588794580544       0.03273034218185211
0.25133297421235873       0.029667169092298006
0.2524328311726777        0.023147792219285448
0.2542000356770174        0.014939540467781167
0.25703644906490025       0.006878203256580974
0.2602557484056784        0.002663652103169998
0.2621969039321395        0.001482173611300647
0.26343357059682254       0.0010159734066031484
0.2644342111016714        7.466487702046925E-4
0.26524195891389185       5.814524052768576E-4
0.26594952949034073       4.6660350844107836E-4
0.2665648082524702        3.850664824966246E-4
0.26709983326301756       3.2566955509398055E-4
0.267565072402624         2.814121456944497E-4
0.2679696281761948        2.477762416409511E-4
0.2683214158053867        2.2176640140749086E-4
0.26862731809164064       2.0134714468766703E-4
0.2688933200796876        1.851038123769066E-4
0.26912462615625005       1.7203273815089048E-4
0.2693257618750001        1.6140826292160282E-4
0.26950066250000004       1.5269655454387067E-4
0.26965275000000005       1.4549859775938668E-4
0.26978500000000005       1.395117547172677E-4
0.26990000000000003       1.345033839674893E-4
0.27                      1.3029243455861574E-4
0.270306                  1.1819713586045419E-4
0.2706579                 1.0565044937586282E-4
0.271062585               9.283784983959223E-5
0.27152797275             7.998808941854521E-5
0.2720631686625001        6.736714331756635E-5
0.272678643961875         5.5266000416226836E-5
0.27338644055615624       4.3981704148535024E-5
0.2742004066395797        3.379220970770832E-5
0.27513646763551663       2.4927311512743E-5
0.2762129377808441        1.7539860646753886E-5
0.27745087844797073       1.1683165604326623E-5
0.27887451021516635       7.300993357975408E-6
0.2805116867474413        4.235073960785309E-6
0.2823944397595575        2.2510592669526607E-6
0.28455960572349115       1.0781738569666873E-6
0.2873065083529094        4.162130573011681E-7
0.2907237231491748        1.245107446777422E-7
0.29387747396765296       4.055213993852224E-8
0.2977711037342163        9.624920582465743E-9
0.3025518100105556        1.4847735853093484E-9
0.30773508063050903       1.7842258654451456E-10
0.31335907020976184       1.5596121765062974E-11
0.31918603837025655       1.1267884734615846E-12
0.3251392029985264        7.060386939907409E-14
0.3312000000000003        3.869554333106242E-15
0.33732000000000023       1.9436950132092827E-16
0.3434400000000003        9.588329742361371E-18
0.34956000000000026       4.664263600530921E-19
0.3556800000000002        2.2438129850564364E-20
0.36180000000000007       1.0696718485728333E-21
0.3679199999999999        5.0611036442669674E-23
0.3740400000000001        2.379495251149865E-24
0.38016000000000016       1.1126852469665703E-25
0.3862800000000001        5.178801106670527E-27
0.39240000000000014       2.4005799383574194E-28
0.39852000000000015       1.1087848282460413E-29
0.40464000000000006       5.105056522759469E-31
0.41075999999999996       2.343827048350259E-32
0.41688000000000014       1.0733691278759536E-33
0.42300000000000015       4.904328852915898E-35
0.42912000000000006       2.236198728420696E-36
0.4352400000000002        1.0177064313724976E-37
0.4413600000000002        4.623667639113786E-39
0.4474800000000002        2.0973198016077646E-40
0.4536000000000001        9.49973163789882E-42
0.4597200000000001        4.297096329384355E-43
0.46584000000000003       1.941328478766588E-44
0.47196000000000005       8.760354215469687E-46
0.4780800000000001        3.9489129948747185E-47
0.4842000000000003        1.7782704960800323E-48
0.49032000000000026       8.000378448095516E-50
0.4964400000000001        3.5961776881937557E-51
0.5025600000000001        1.6151497245564369E-52
0.5086800000000002        7.2484734382996E-54
0.5148000000000003        3.250586342385472E-55
0.5209200000000002        1.4567194341358057E-56
0.5270400000000002        6.523871628231983E-58
0.5331600000000003        2.9198809036224096E-59
0.5392800000000004        1.3060774126781002E-60
0.5454000000000002        5.838879837475395E-62
0.5515200000000001        2.60890858957657E-63
0.5576400000000004        1.1651126954889688E-64
0.5637600000000001        5.200762815179827E-66
0.5698800000000003        2.3204158485760535E-67
0.5760000000000003        1.034840148830713E-68
0.5821200000000003        4.613152840239871E-70
0.5882400000000003        2.0556420666553037E-71
0.5943600000000003        9.156504661560685E-73
0.6004800000000003        4.07710211904703E-74
0.6066000000000003        1.8147624733476208E-75
0.6127200000000003        8.074965170144094E-77
0.6188400000000003        3.5918666194796014E-78
0.6249600000000004        1.5972177506330167E-79
0.6310800000000003        7.100319093248986E-81
0.6372000000000003        3.155488378568989E-82
0.6433200000000003        1.401958662060717E-83
0.6494400000000001        6.227137186266663E-85
0.6555599999999999        2.7652267110365964E-86
0.6616799999999998        1.227626961169792E-87
0.6677999999999997        5.448783410381596E-89
0.6739199999999997        2.417876032022669E-90
0.6800399999999998        1.0726884503433104E-91
0.6861599999999998        4.757971460546005E-93
0.6922799999999998        2.109998367146322E-94
0.6983999999999998        9.35529992238218E-96
0.7045199999999998        4.147168905176616E-97
0.7106399999999998        1.8380914080286398E-98
0.7167599999999998        8.145292452364059E-100
0.7228799999999999        3.6088858413131687E-101
0.729                     1.5987076500411516E-102
0.7351199999999999        7.081036697391627E-104
0.7412399999999999        3.1358756816157245E-105
0.74736                   1.3885362764190744E-106
0.7534799999999998        6.1474373888973425E-108
0.7595999999999998        2.7212689739265315E-109
0.7657199999999998        1.2044566582029315E-110
0.7718399999999999        5.330341242699825E-112
0.7779599999999999        2.358656311517719E-113
0.7840799999999999        1.0435703211423042E-114
