% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 16:10
% Table:              Table 61 - Line Integration 5
% Time (min)             Normal total flux (mol/s)
0                        -4.6574179520740025E-12
20                       -1.9400870226563116E-11
40                       -1.9400880459424057E-11
60                       -1.9401008037639192E-11
80                       -1.9401020413151422E-11
100                      -1.94009316506139E-11
120                      -1.940081774702655E-11
140                      -1.940083290386024E-11
160                      -1.9400876490972543E-11
180                      -1.940086629641134E-11
200                      -1.9400808661222038E-11
220                      -1.9400777032046277E-11
240                      -1.9400816330797125E-11
