% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:57
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        1.7702525375514137E-19
20                       1.7394642799103406E-12
40                       1.7394672178928229E-12
60                       1.7394968916452E-12
80                       1.7394875235487163E-12
100                      1.739529561845184E-12
120                      1.7394936233293851E-12
140                      1.739485541258068E-12
160                      1.7395003900032388E-12
180                      1.739493971662896E-12
200                      1.739490110413668E-12
220                      1.7394927717665666E-12
240                      1.7394899431733647E-12
