% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:19
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.583010941412106E-19
20                       3.4642967504490915E-12
40                       3.4643467534865655E-12
60                       3.4643554504790387E-12
80                       3.4643451237679358E-12
100                      3.4643404722832893E-12
120                      3.4643357941194044E-12
140                      3.4643422121641544E-12
160                      3.4643362033194507E-12
180                      3.4643387382819937E-12
200                      3.4643379890378396E-12
220                      3.464340258342208E-12
240                      3.464342996264534E-12
