% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:22
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.657419429348985E-12
20                       -1.940102880335607E-11
40                       -1.9401039033818495E-11
60                       -1.9401166661599727E-11
80                       -1.9401179017029297E-11
100                      -1.9401090087388315E-11
120                      -1.940097612202256E-11
140                      -1.940099145246112E-11
160                      -1.940103513263381E-11
180                      -1.9401024844384214E-11
200                      -1.940096709415045E-11
220                      -1.9400935536125875E-11
240                      -1.94009749132052E-11
