% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:31
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598169413901186E-18
20                       -1.9336176547028634E-11
40                       -1.93361246048353E-11
60                       -1.9336306707764378E-11
80                       -1.933633359908236E-11
100                      -1.933619433544556E-11
120                      -1.9336131854493597E-11
140                      -1.9336142813305498E-11
160                      -1.933617248739202E-11
180                      -1.933617083731125E-11
200                      -1.933612850324545E-11
220                      -1.9336089535143953E-11
240                      -1.9336106048446943E-11
