% Model:              outside_in_originalconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 2 2026, 09:34
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        2.1213454763878384E-20
20                       -1.762256894789823E-12
40                       -1.762247139291931E-12
60                       -1.7622556395157938E-12
80                       -1.7622546056505638E-12
100                      -1.7622541409824123E-12
120                      -1.762263181883408E-12
140                      -1.7622564365015768E-12
160                      -1.762251311246647E-12
180                      -1.7622526115813925E-12
200                      -1.7622588566062949E-12
220                      -1.7622626388770212E-12
240                      -1.7622538644132844E-12
