% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:21
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        7.933196102485261E-13
20                       3.883557187430804E-12
40                       3.883585829831591E-12
60                       3.883594581956999E-12
80                       3.883596123368711E-12
100                      3.883617407019783E-12
120                      3.883607975553267E-12
140                      3.883601454291833E-12
160                      3.883621306228801E-12
180                      3.883603222212814E-12
200                      3.883604376476602E-12
220                      3.883605934160241E-12
240                      3.883607184708665E-12
