% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:40
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944325E-18
20                       -1.772447342698024E-11
40                       -1.772444057387195E-11
60                       -1.7724479117540066E-11
80                       -1.772440581538723E-11
100                      -1.7724360561960983E-11
120                      -1.7724405271992464E-11
140                      -1.7724444225947558E-11
160                      -1.7724414871019563E-11
180                      -1.7724354183244265E-11
200                      -1.7724371498924673E-11
220                      -1.772441665931399E-11
240                      -1.7724436284436994E-11
