% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:25
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.700625861033047E-13
20                       -3.543701681820943E-12
40                       -3.543750464642784E-12
60                       -3.543747770454732E-12
80                       -3.543752048033954E-12
100                      -3.5437554858945346E-12
120                      -3.5437379946946514E-12
140                      -3.5437322319776873E-12
160                      -3.543750838831182E-12
180                      -3.5437521347363364E-12
200                      -3.5437381153780987E-12
220                      -3.543737566698124E-12
240                      -3.5437513819845678E-12
