% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:52
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -1.9486929979938252E-18
20                       -1.4529170837866949E-11
40                       -1.4529161378583972E-11
60                       -1.4529282885089528E-11
80                       -1.45293046996907E-11
100                      -1.4529207591107881E-11
120                      -1.4529102412389013E-11
140                      -1.4529103677632364E-11
160                      -1.4529147091410921E-11
180                      -1.452914489542757E-11
200                      -1.4529092664410882E-11
220                      -1.4529069317096044E-11
240                      -1.452911068710546E-11
