% Model:              outside_in_adjustedconfiguration_countercurrent_240mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:18
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.5982595538860843E-18
20                       -1.940064191625869E-11
40                       -1.9400630939288505E-11
60                       -1.9400764291989283E-11
80                       -1.9400770825246135E-11
100                      -1.9400671877424127E-11
120                      -1.940055427127831E-11
140                      -1.940058164907876E-11
160                      -1.9400630276830785E-11
180                      -1.9400615052802698E-11
200                      -1.940055170020519E-11
220                      -1.940052187348139E-11
240                      -1.9400568553665653E-11
