% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:41
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944307E-18
20                       -2.0549760095099572E-11
40                       -2.0549572521504623E-11
60                       -2.0549697630906882E-11
80                       -2.0549723948870766E-11
100                      -2.054968691181921E-11
120                      -2.0549603222629965E-11
140                      -2.0549605516079252E-11
160                      -2.054961182572405E-11
180                      -2.0549608329254344E-11
200                      -2.0549611352785934E-11
220                      -2.0549595956313156E-11
240                      -2.054958957514311E-11
