% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:24
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.698985873427004E-13
20                       -3.524977066405294E-12
40                       -3.5250338337370655E-12
60                       -3.525028510412846E-12
80                       -3.525032207082093E-12
100                      -3.5250390075139507E-12
120                      -3.5250206751445985E-12
140                      -3.5250134614027196E-12
160                      -3.5250329941054242E-12
180                      -3.525034823497036E-12
200                      -3.5250209989302786E-12
220                      -3.5250193000124447E-12
240                      -3.5250332096856923E-12
