% Model:              inside_out_countercurrent_240mins_parasweep_Qdial 2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 10:12
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5830926734097226E-19
20                       3.5591512395304184E-12
40                       3.5592079658210766E-12
60                       3.5592444288714523E-12
80                       3.5592207461732095E-12
100                      3.5592385058088484E-12
120                      3.559228911676113E-12
140                      3.5592272794819723E-12
160                      3.5592100933931176E-12
180                      3.5592154166203377E-12
200                      3.5592302645994015E-12
220                      3.559232868988829E-12
240                      3.5592212042082536E-12
