% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:41
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944323E-18
20                       -1.937734613902569E-11
40                       -1.9377442408848938E-11
60                       -1.9377472729054328E-11
80                       -1.9377436609412946E-11
100                      -1.9377393848164026E-11
120                      -1.9377408994252124E-11
140                      -1.9377441469245278E-11
160                      -1.9377448026511538E-11
180                      -1.9377418092978372E-11
200                      -1.937740457395077E-11
220                      -1.937741710300381E-11
240                      -1.937742154852439E-11
