% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:23
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.659059503099523E-12
20                       -1.957736188380747E-11
40                       -1.9577404324067307E-11
60                       -1.9577518342419574E-11
80                       -1.9577524275855248E-11
100                      -1.9577444607412996E-11
120                      -1.9577332597624796E-11
140                      -1.9577345968723453E-11
160                      -1.9577394169849558E-11
180                      -1.95773811813575E-11
200                      -1.9577318964128613E-11
220                      -1.9577291287290424E-11
240                      -1.9577334502766232E-11
