% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:58
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        5.373355875742164E-19
20                       5.220115634873053E-12
40                       5.220049666725358E-12
60                       5.220128013078012E-12
80                       5.220121581242607E-12
100                      5.220165235205043E-12
120                      5.220233380507668E-12
140                      5.220347302004975E-12
160                      5.220169760286335E-12
180                      5.220110363674928E-12
200                      5.22016987097257E-12
220                      5.2201700330717015E-12
240                      5.220165407246499E-12
