% Model:              inside_out_countercurrent_240mins_parasweep_Qdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 18:41
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5849025928031714E-19
20                       7.926824152889572E-13
40                       7.925875782772031E-13
60                       7.925931834901232E-13
80                       7.92754599940092E-13
100                      7.927545094283797E-13
120                      7.927828623019496E-13
140                      7.925778741653967E-13
160                      7.925407308781283E-13
180                      7.926291344870377E-13
200                      7.927619711543727E-13
220                      7.927005766939843E-13
240                      7.925809281957964E-13
