% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:44
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242679915135071E-20
20                       -3.5832309420459023E-12
40                       -3.5831765567748165E-12
60                       -3.583237720342438E-12
80                       -3.5832098482951678E-12
100                      -3.583197742443763E-12
120                      -3.583212223882741E-12
140                      -3.583221156813851E-12
160                      -3.5832077475337375E-12
180                      -3.5831832055633045E-12
200                      -3.583186471877268E-12
220                      -3.5832227167108684E-12
240                      -3.5832113890518737E-12
