% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:20
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        7.905708889965374E-13
20                       3.4814294281217838E-12
40                       3.4814668057123654E-12
60                       3.4814843459802E-12
80                       3.4814597348958293E-12
100                      3.4814618724347658E-12
120                      3.481463510481369E-12
140                      3.4814576467823493E-12
160                      3.4814678369470282E-12
180                      3.4814524554286107E-12
200                      3.4814554477298696E-12
220                      3.4814666893603177E-12
240                      3.4814638644478946E-12
