% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 16:09
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.698969327465939E-13
20                       -3.524788743124286E-12
40                       -3.5248455046930776E-12
60                       -3.5248401886962307E-12
80                       -3.524843884273165E-12
100                      -3.5248506850919232E-12
120                      -3.5248323490130017E-12
140                      -3.5248251338412243E-12
160                      -3.5248446644896953E-12
180                      -3.524846502287283E-12
200                      -3.5248326794306083E-12
220                      -3.5248309699139057E-12
240                      -3.5248448858238123E-12
