% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:33
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.242681781162814E-20
20                       -3.3963874138407587E-12
40                       -3.396416938992425E-12
60                       -3.3964209268475373E-12
80                       -3.396426053592494E-12
100                      -3.3964266020304977E-12
120                      -3.3964095384815146E-12
140                      -3.3964062826353984E-12
160                      -3.396422730265487E-12
180                      -3.3964361802480153E-12
200                      -3.3964157106238487E-12
220                      -3.3964082151146253E-12
240                      -3.3964192955470705E-12
