% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:58
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        4.479940590203024E-19
20                       4.3498836402723905E-12
40                       4.3499498801078E-12
60                       4.3499440655011206E-12
80                       4.349911684060246E-12
100                      4.349939790244806E-12
120                      4.349930146027679E-12
140                      4.34991086993785E-12
160                      4.3499345335255026E-12
180                      4.349944756883387E-12
200                      4.349912168597799E-12
220                      4.3499177479125225E-12
240                      4.349936219860024E-12
