% Model:              inside_out_countercurrent_240mins_parasweep_Qblood 1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 28 2026, 09:20
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.58334259291148E-19
20                       3.4523035996577522E-12
40                       3.452334577542017E-12
60                       3.4522951482871486E-12
80                       3.4523329738558773E-12
100                      3.452360423709661E-12
120                      3.4523251674264815E-12
140                      3.4523203553367425E-12
160                      3.4523409369112012E-12
180                      3.4523196556435647E-12
200                      3.45231096366071E-12
220                      3.4523665018813837E-12
240                      3.4523355293576836E-12
