% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:21
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        7.908450830025894E-13
20                       3.520189194292733E-12
40                       3.5202320312744297E-12
60                       3.520243231965635E-12
80                       3.520233839286659E-12
100                      3.5202288289873268E-12
120                      3.520223905770108E-12
140                      3.5202298911413122E-12
160                      3.520224435663998E-12
180                      3.520226764755659E-12
200                      3.520226039615437E-12
220                      3.520228279330951E-12
240                      3.520230981797486E-12
