% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepQdial.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 15:42
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944342E-18
20                       -4.6447495131466445E-12
40                       -1.97756711992711E-12
60                       -1.1647871925044002E-12
80                       -9.203575493269326E-13
100                      -8.475321472252429E-13
120                      -8.235443957446514E-13
140                      -8.230529943006109E-13
160                      -8.229812136953733E-13
180                      -8.229859230432452E-13
200                      -8.230003679776761E-13
220                      -8.230103019906393E-13
240                      -8.230140310092497E-13
