% Model:              inside_out_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:57
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        2.6810582476462676E-19
20                       2.609551594987826E-12
40                       2.609571549751021E-12
60                       2.6095926552883853E-12
80                       2.609547670736906E-12
100                      2.6095582001458445E-12
120                      2.6095687167898877E-12
140                      2.609553647458277E-12
160                      2.6095685491930547E-12
180                      2.6095661618096975E-12
200                      2.6095606518711763E-12
220                      2.6095672291407177E-12
240                      2.6095639885527197E-12
