% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 19:52
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -1.2991294165917362E-18
20                       -9.68194746719761E-12
40                       -9.681961487744782E-12
60                       -9.682027086959216E-12
80                       -9.682032016149513E-12
100                      -9.681964341323071E-12
120                      -9.681894264638317E-12
140                      -9.681870704089389E-12
160                      -9.681896742167463E-12
180                      -9.68191664495723E-12
200                      -9.68187998293294E-12
220                      -9.681852232875352E-12
240                      -9.681879241360195E-12
