% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepQblood.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:44
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        4.2426799123993205E-20
20                       -3.559001565391817E-12
40                       -3.5590505522695184E-12
60                       -3.559012954303252E-12
80                       -3.5589802531387005E-12
100                      -3.559011327106159E-12
120                      -3.559036265782159E-12
140                      -3.5590265835454354E-12
160                      -3.5590322029138213E-12
180                      -3.5590240539025338E-12
200                      -3.559016404300617E-12
220                      -3.559013413103156E-12
240                      -3.5590146565929587E-12
