% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:19
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.583100825826558E-19
20                       3.4812375589508293E-12
40                       3.4812581771836294E-12
60                       3.4812649617192583E-12
80                       3.4812428410125516E-12
100                      3.4812792094206164E-12
120                      3.4812452440448295E-12
140                      3.481240468478441E-12
160                      3.481255957385486E-12
180                      3.4812500189711615E-12
200                      3.481253127535476E-12
220                      3.4812501221674113E-12
240                      3.4812496529983134E-12
