% Model:              inside_out_countercurrent_10mins.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 18:19
% Table:              Table 10 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        3.5831015704665996E-19
20                       3.4813732669171663E-12
40                       3.4814103366036953E-12
60                       3.4814291582868646E-12
80                       3.4814028968701547E-12
100                      3.4814063202527694E-12
120                      3.4814080732901376E-12
140                      3.4814018684114624E-12
160                      3.4814126503172784E-12
180                      3.481396080292976E-12
200                      3.4813998260027852E-12
220                      3.481411467878004E-12
240                      3.481407824594876E-12
