% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 6 2026, 15:23
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -4.657434202125454E-12
20                       -1.9402614554771033E-11
40                       -1.9402624527060178E-11
60                       -1.940275219278014E-11
80                       -1.9402764381232925E-11
100                      -1.9402675001605576E-11
120                      -1.9402560868799523E-11
140                      -1.940257657869435E-11
160                      -1.940262032618965E-11
180                      -1.9402610182012408E-11
200                      -1.940255268924322E-11
220                      -1.9402521093515473E-11
240                      -1.9402559706937654E-11
