% Model:              outside_in_originalconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               May 9 2026, 16:09
% Table:              Table 15 - Line Integration 1
% Time (min)             Normal total flux (mol/s)
0                        -4.698969476528383E-13
20                       -3.5247904394685023E-12
40                       -3.5248472013953025E-12
60                       -3.5248418847761722E-12
80                       -3.5248455806764245E-12
100                      -3.5248523819449563E-12
120                      -3.5248340455683548E-12
140                      -3.524826830337794E-12
160                      -3.5248463611499413E-12
180                      -3.5248481988399842E-12
200                      -3.5248343760337376E-12
220                      -3.524832666451848E-12
240                      -3.5248465824213662E-12
