% Model:              outside_in_adjustedconfiguration_countercurrent_240mins_parasweepVmax.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 20:31
% Table:              Table 16 - Line Integration 2
% Time (min)             Normal total flux (mol/s)
0                        -2.598254393944322E-18
20                       -1.937734614041031E-11
40                       -1.9377442407916363E-11
60                       -1.9377472729105145E-11
80                       -1.9377436609463908E-11
100                      -1.937739384861653E-11
120                      -1.9377408994670006E-11
140                      -1.9377441467969756E-11
160                      -1.9377448026774323E-11
180                      -1.937741809400344E-11
200                      -1.937740457420666E-11
220                      -1.9377417102361385E-11
240                      -1.9377421547527345E-11
